Channel,Value,Mask
Cz,-1.286025776410615,True
Pz,-1.2313383664651794,True
Oz,0.1722063597458817,True
Fz,-1.0898343265399277,True
C3,-1.2912326528709859,True
C4,-1.2342363972288186,True
P3,-0.3444161651515317,True
P4,-0.6854354701153625,True
Cz,-0.9597425113024687,True
Pz,-0.995688842083844,True
Oz,0.6847765851718334,True
Fz,-0.5976189011234795,True
C3,-1.5334750153359005,True
C4,-1.7081465956121147,True
P3,-0.4933637211311935,True
P4,-0.9600674881385675,True
Cz,-1.044447244224567,True
Pz,-0.6564303281135204,True
Oz,0.7883705113043039,True
Fz,-0.23459553238661388,True
C3,-0.9695452978708622,True
C4,-1.4166466238900706,True
P3,-0.44411210524208905,True
P4,-0.44548605054180856,True
Cz,-1.3247176636967295,True
Pz,-0.7716808782924283,True
Oz,0.9749140564474881,True
Fz,-0.5889430315943093,True
C3,-1.4427694670902989,True
C4,-1.6615416874171798,True
P3,-0.1541286674503004,True
P4,-0.5049137345312742,True
Cz,-1.0416388341201777,True
Pz,-0.8151737205800902,True
Oz,0.6163562276390037,True
Fz,-0.4702643835047421,True
C3,-1.476280795715699,True
C4,-1.3584579906289427,True
P3,-0.5206055972163776,True
P4,-0.5969457338315398,True
Cz,-0.815952600189236,True
Pz,-0.7036267188354691,True
Oz,0.1956299827164856,True
Fz,-0.7889425771527496,True
C3,-1.34052271693341,True
C4,-1.5069184893678547,True
P3,-0.14880393511205967,True
P4,-0.7939179662097899,True
Cz,-1.4199442199944643,True
Pz,-0.35072312942178746,True
Oz,0.6813406643077751,True
Fz,-0.6660304425437384,True
C3,-1.4599989374317137,True
C4,-1.4937402450280661,True
P3,0.0075826549035402846,True
P4,-0.5895486934123788,True
Cz,-0.8121076187516932,True
Pz,-1.1907515253699639,True
Oz,0.8702851358046844,True
Fz,-0.7496353464482722,True
C3,-1.2020285701482802,True
C4,-1.5348333770346723,True
P3,0.08572805771230588,True
P4,-0.9149912633556605,True
Cz,-0.5443660912578723,True
Pz,-0.6114949580738108,True
Oz,0.9265773691347121,True
Fz,-0.4203450796282837,True
C3,-1.0119034877517061,True
C4,-0.9895022431456222,True
P3,-0.18664123838219512,True
P4,-0.3826654134112308,True
Cz,-1.055664442253097,True
Pz,-0.7679744406330592,True
Oz,0.5398835211812558,True
Fz,-0.5910802523341521,True
C3,-1.565763178168766,True
C4,-1.4020060544923523,True
P3,-0.29645708154132033,True
P4,-0.6312800200344129,True
Cz,-0.7999904063139982,True
Pz,-0.34449553746590805,True
Oz,0.5784542019656287,True
Fz,-0.3928001340542361,True
C3,-0.7926594096340263,True
C4,-0.9975335452658649,True
P3,0.17665632716807805,True
P4,-0.30459320511706406,True
Cz,-0.6083326162983891,True
Pz,-0.6013606772423189,True
Oz,1.0487463900106413,True
Fz,-0.6546632979403507,True
C3,-1.3902293166091053,True
C4,-1.3696357275132434,True
P3,-0.052938890686817015,True
P4,-0.19471836491681893,True
Cz,-1.2438246428159467,True
Pz,-0.9550567872252631,True
Oz,0.417930986152112,True
Fz,-0.7719595050178261,True
C3,-1.5552408823580002,True
C4,-1.4300392916153697,True
P3,-0.19083583526663084,True
P4,-0.8681428819586325,True
Cz,-1.243311325482009,True
Pz,-0.4730760032453984,True
Oz,0.9174345059375001,True
Fz,-0.37852554214458567,True
C3,-1.5963455899501469,True
C4,-1.5537302759253113,True
P3,0.38418730909233084,True
P4,-0.6267539286161508,True
Cz,-1.062087561044034,True
Pz,-0.2536955218928239,True
Oz,0.4670663883302418,True
Fz,-0.8455643963760677,True
C3,-1.060457937082583,True
C4,-1.068019120415187,True
P3,0.5320412508617403,True
P4,-0.1358022373584333,True
Cz,-0.7125990923557195,True
Pz,-0.28904023866381945,True
Oz,0.9651426156364334,True
Fz,-0.25150232156555763,True
C3,-1.1137344580887898,True
C4,-0.8355607076531754,True
P3,0.8147002207211619,True
P4,-0.6261374017994661,True
Cz,-0.5813795671140302,True
Pz,-0.30834656528095583,True
Oz,0.7110956079581756,True
Fz,-0.07833030217494028,True
C3,-1.414804759476892,True
C4,-1.0498325395171537,True
P3,0.991610827631064,True
P4,-0.4199578711202402,True
Cz,-1.5380372982361803,True
Pz,-0.2049772957683965,True
Oz,0.7971109807693807,True
Fz,-0.5173913205033621,True
C3,-1.3801220964668102,True
