Channel,Value,Mask
Cz,-1.7290937065165919,True
Pz,-1.28139160536433,True
Oz,0.6949159692295414,True
Fz,-1.0793124729609211,True
C3,-0.9627245308890217,True
C4,-1.3094425675219388,True
P3,-1.174505146319465,True
P4,-0.8727919452333446,True
Cz,-2.0071172426820074,True
Pz,-1.20692905376919,True
Oz,0.33908283545033835,True
Fz,-0.9071487078383016,True
C3,-1.507218582405986,True
C4,-1.778550768973425,True
P3,-1.2271310951045262,True
P4,-1.2540149264716751,True
Cz,-0.6463302964104163,True
Pz,-0.8212027592931262,True
Oz,0.3063807419409639,True
Fz,-0.8149167842424943,True
C3,-0.625300177534076,True
C4,-0.45683091490448113,True
P3,-0.7414234965202827,True
P4,-0.24993370951388372,True
Cz,-0.996671950413588,True
Pz,-0.647569490198849,True
Oz,0.03690417307994927,True
Fz,-0.4238748348576007,True
C3,-1.0990646472799022,True
C4,-0.44929175506296276,True
P3,-0.9273891827302092,True
P4,-0.2127986883138206,True
Cz,-1.6305634843460253,True
Pz,-0.7138474238172124,True
Oz,0.18453065800336,True
Fz,-0.6747733482979994,True
C3,-0.3582550122820004,True
C4,-0.5795168655501362,True
P3,-0.6756157538794452,True
P4,-0.11913698237305301,True
Cz,-2.0589059459791894,True
Pz,-1.6139968334469403,True
Oz,-0.45959675103026604,True
Fz,-1.2413874094708315,True
C3,-1.6950602073446766,True
C4,-1.9284320730970448,True
P3,-1.4621006407522568,True
P4,-0.9142450862617931,True
Cz,-0.36530187102377726,True
Pz,-0.2175158146090394,True
Oz,0.23057154118584788,True
Fz,-0.6890152638927574,True
C3,-0.7390760269643407,True
C4,-0.7818262160032102,True
P3,-0.874859553339875,True
P4,0.01642610436182309,True
Cz,-0.6329662258348954,True
Pz,-0.4790484563910019,True
Oz,0.026490758731923202,True
Fz,-0.47578214086880444,True
C3,-0.44715144931774736,True
C4,-0.27598355448642853,True
P3,-0.6817163301733719,True
P4,-0.7448143944151889,True
Cz,-0.4564674159869891,True
Pz,-1.0228756362177753,True
Oz,-0.11661429419560539,True
Fz,-0.6853671327144166,True
C3,0.5232486916906703,True
C4,0.3803234422471896,True
P3,0.4510227201133301,True
P4,0.019625732052252175,True
Cz,-0.4851996512704027,True
Pz,-0.5849335494189809,True
Oz,-0.40851415964133164,True
Fz,-0.7171327797812541,True
C3,-0.5343830958524589,True
C4,-0.23770932979230644,True
P3,-0.3041913392245382,True
P4,-0.4708900852378945,True
Cz,-0.5140172572933057,True
Pz,-0.8599168334878697,True
Oz,-0.37828888387243154,True
Fz,-1.0496089916010891,True
C3,-0.24725958984894303,True
C4,-0.9185834981404501,True
P3,-0.27482768567822796,True
P4,-1.1001914878617143,True
Cz,0.17461111919264263,True
Pz,0.26031161729144686,True
Oz,0.6317756478862133,True
Fz,0.17208031474999055,True
C3,1.0751190634917422,True
C4,0.27515100393622105,True
P3,1.1587752215522416,True
P4,0.42030623318786947,True
Cz,-0.13755446573225724,True
Pz,0.4919609588043763,True
Oz,0.19256356286650841,True
Fz,-0.053176117573045516,True
