dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,AF8,prefrontal,right,1.8715373323221078,0.6267601959710903,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF8,prefrontal,right,0.9037474327946363,-0.10120534612770746,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF8,prefrontal,right,1.1259758499464894,0.1186500818378403,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,AF8,prefrontal,right,1.5073101960625654,0.4103267352661651,025_AF8
