dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,CP3,fronto-parietal,left,5.250194195631925,1.6582650655636086,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP3,fronto-parietal,left,1.1839787488994686,0.16888058773609854,025_CP3
