dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,CPz,centroparietal,central,2.4217333299716963,0.8844835358369296,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CPz,centroparietal,central,1.9680303615235266,0.6770332261144755,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,CPz,centroparietal,central,1.4242669889347608,0.3536572876447795,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,CPz,centroparietal,central,1.4242669889347608,0.3536572876447795,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,CPz,centroparietal,central,1.4242669889347608,0.3536572876447795,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,CPz,centroparietal,central,1.4242669889347608,0.3536572876447795,025_CPz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,CPz,centroparietal,central,1.4242669889347608,0.3536572876447795,025_CPz
