dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,F1,fronto-parietal,left,1.2588740383646635,0.23021770110119197,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F1,fronto-parietal,left,0.9245998796271796,-0.07839419761709725,025_F1
