dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,FC4,frontocentral,right,1.1740464943083475,0.16045632395080003,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC4,frontocentral,right,1.0116529991020076,0.011585625803499524,025_FC4
