dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,Oz,occipital,central,2.122858117763951,0.7527633494769707,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Oz,occipital,central,2.7178018652221794,0.9998234158025672,025_Oz
