dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,PO8,parietooccipital,right,5.318388350647112,1.671170315849789,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO8,parietooccipital,right,4.619237039396229,1.5302295484682136,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO8,parietooccipital,right,2.22432560163826,0.7994537692866982,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,PO8,parietooccipital,right,3.1049659058143333,1.1330027349110936,025_PO8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,PO8,parietooccipital,right,3.1049659058143333,1.1330027349110936,025_PO8
