dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,POz,parietooccipital,central,3.1019133233195966,1.1320191221716926,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,POz,parietooccipital,central,3.20797407177529,1.1656396076072943,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,POz,parietooccipital,central,2.203889087316798,0.7902235666654208,025_POz
