dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,Pz,parietal,central,2.7874071529962543,1.0251118278893512,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Pz,parietal,central,1.8273637036786539,0.6028743291101195,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Pz,parietal,central,1.6418732701440641,0.4958378278714642,025_Pz
