dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,T7,temporal,left,1.8737924452555361,0.6279644227494383,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,T7,temporal,left,1.1527144036952734,0.1421195121616414,025_T7
