dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,TP7,temporal,left,2.483744225800548,0.9097671900902655,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP7,temporal,left,1.0868196430078552,0.083255672576627,025_TP7
