dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AF8,prefrontal,right,0.28495049200257877,-1.2554398260748643,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AF8,prefrontal,right,0.28495049200257877,-1.2554398260748643,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AF8,prefrontal,right,0.28495049200257877,-1.2554398260748643,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,AF8,prefrontal,right,2.7184749853134935,1.0000710559111419,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,AF8,prefrontal,right,2.7184749853134935,1.0000710559111419,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,AF8,prefrontal,right,0.3852159584569734,-0.9539511709002981,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,AF8,prefrontal,right,0.4536264823768253,-0.7904811456078374,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF8,prefrontal,right,1.384353719755836,0.3252334023992837,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF8,prefrontal,right,1.384353719755836,0.3252334023992837,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF8,prefrontal,right,1.384353719755836,0.3252334023992837,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF8,prefrontal,right,1.384353719755836,0.3252334023992837,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF8,prefrontal,right,1.384353719755836,0.3252334023992837,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF8,prefrontal,right,1.384353719755836,0.3252334023992837,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF8,prefrontal,right,3.5380628278259603,1.263579353586129,1_AF8
