dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CP4,fronto-parietal,right,0.23279349092628743,-1.4576035234543685,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CP4,fronto-parietal,right,0.23279349092628743,-1.4576035234543685,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CP4,fronto-parietal,right,0.23279349092628743,-1.4576035234543685,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,CP4,fronto-parietal,right,0.9360819298989007,-0.06605227439197202,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,CP4,fronto-parietal,right,0.9360819298989007,-0.06605227439197202,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,CP4,fronto-parietal,right,0.22617041756189496,-1.486466503861874,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,CP4,fronto-parietal,right,0.5339373774790911,-0.6274767175370873,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP4,fronto-parietal,right,4.318198322820711,1.4628382603618222,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP4,fronto-parietal,right,4.318198322820711,1.4628382603618222,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP4,fronto-parietal,right,4.318198322820711,1.4628382603618222,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP4,fronto-parietal,right,4.318198322820711,1.4628382603618222,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP4,fronto-parietal,right,4.318198322820711,1.4628382603618222,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP4,fronto-parietal,right,4.318198322820711,1.4628382603618222,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP4,fronto-parietal,right,1.6307040216971103,0.48901183672177256,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,CP4,fronto-parietal,right,1.1040845177464027,0.09901650085436053,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,CP4,fronto-parietal,right,3.2457091629144856,1.1773338664689885,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,CP4,fronto-parietal,right,3.2457091629144856,1.1773338664689885,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,CP4,fronto-parietal,right,3.2457091629144856,1.1773338664689885,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,CP4,fronto-parietal,right,3.2457091629144856,1.1773338664689885,1_CP4
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,CP4,fronto-parietal,right,3.2457091629144856,1.1773338664689885,1_CP4
