dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CPz,centroparietal,central,0.20918057617978425,-1.5645573991910053,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CPz,centroparietal,central,0.20918057617978425,-1.5645573991910053,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CPz,centroparietal,central,0.20918057617978425,-1.5645573991910053,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,CPz,centroparietal,central,1.7686834101121456,0.570235433707574,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,CPz,centroparietal,central,1.7686834101121456,0.570235433707574,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,CPz,centroparietal,central,0.27737427078517257,-1.2823875267182425,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,CPz,centroparietal,central,0.2649422037214208,-1.328243575947446,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CPz,centroparietal,central,2.1505355498853365,0.7657169040909925,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CPz,centroparietal,central,2.1505355498853365,0.7657169040909925,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CPz,centroparietal,central,2.1505355498853365,0.7657169040909925,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CPz,centroparietal,central,2.1505355498853365,0.7657169040909925,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CPz,centroparietal,central,2.1505355498853365,0.7657169040909925,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CPz,centroparietal,central,2.1505355498853365,0.7657169040909925,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CPz,centroparietal,central,4.391341263124629,1.4796347073308993,1_CPz
