dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F7,frontal,left,0.2144452807147377,-1.5397006747209983,1_F7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F7,frontal,left,0.2144452807147377,-1.5397006747209983,1_F7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F7,frontal,left,0.2144452807147377,-1.5397006747209983,1_F7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,F7,frontal,left,0.9626679306570134,-0.03804675462902895,1_F7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,F7,frontal,left,0.9626679306570134,-0.03804675462902895,1_F7
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,F7,frontal,left,0.254349066791341,-1.3690476767142319,1_F7
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,F7,frontal,left,0.3183772668957915,-1.1445182255012167,1_F7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F7,frontal,left,2.0417479003583776,0.7138062549017962,1_F7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F7,frontal,left,2.0417479003583776,0.7138062549017962,1_F7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F7,frontal,left,2.0417479003583776,0.7138062549017962,1_F7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F7,frontal,left,2.0417479003583776,0.7138062549017962,1_F7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F7,frontal,left,2.0417479003583776,0.7138062549017962,1_F7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F7,frontal,left,2.0417479003583776,0.7138062549017962,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F7,frontal,left,1.4962974939703955,0.4029937193882143,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,F7,frontal,left,2.5825348736750273,0.9487714257636662,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,F7,frontal,left,4.874355633944574,1.5839879180611796,1_F7
