dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FC3,frontocentral,left,0.09974912151062754,-2.3050970301619476,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FC3,frontocentral,left,0.09974912151062754,-2.3050970301619476,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FC3,frontocentral,left,0.09974912151062754,-2.3050970301619476,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,FC3,frontocentral,left,0.8969008650841671,-0.1088099413317554,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,FC3,frontocentral,left,0.8969008650841671,-0.1088099413317554,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,FC3,frontocentral,left,0.24287924450154472,-1.4151908953629413,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,FC3,frontocentral,left,0.48360514124306314,-0.7264865291088803,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC3,frontocentral,left,1.8141136301545602,0.5955969903896234,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC3,frontocentral,left,1.8141136301545602,0.5955969903896234,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC3,frontocentral,left,1.8141136301545602,0.5955969903896234,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC3,frontocentral,left,1.8141136301545602,0.5955969903896234,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC3,frontocentral,left,1.8141136301545602,0.5955969903896234,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC3,frontocentral,left,1.8141136301545602,0.5955969903896234,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC3,frontocentral,left,1.4247691520659387,0.35400980204721294,1_FC3
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC3,frontocentral,left,1.4247691520659387,0.35400980204721294,1_FC3
