dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FT7,frontocentral,left,0.2190635254059221,-1.5183935208812291,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FT7,frontocentral,left,0.2190635254059221,-1.5183935208812291,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FT7,frontocentral,left,0.2190635254059221,-1.5183935208812291,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,FT7,frontocentral,left,0.7195445778777841,-0.3291367978292926,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,FT7,frontocentral,left,0.7195445778777841,-0.3291367978292926,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,FT7,frontocentral,left,0.26617861759886424,-1.3235877008195776,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,FT7,frontocentral,left,0.38179403782133897,-0.9628739837858646,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FT7,frontocentral,left,2.221311033914217,0.7980975773919392,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FT7,frontocentral,left,2.221311033914217,0.7980975773919392,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FT7,frontocentral,left,2.221311033914217,0.7980975773919392,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FT7,frontocentral,left,2.221311033914217,0.7980975773919392,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FT7,frontocentral,left,2.221311033914217,0.7980975773919392,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FT7,frontocentral,left,2.221311033914217,0.7980975773919392,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FT7,frontocentral,left,1.0765861719939067,0.0737950829176174,1_FT7
