dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fp2,prefrontal,right,0.4828405815110293,-0.7280687387943952,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fp2,prefrontal,right,0.4828405815110293,-0.7280687387943952,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fp2,prefrontal,right,0.4828405815110293,-0.7280687387943952,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Fp2,prefrontal,right,3.956616039436836,1.3753891244470478,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Fp2,prefrontal,right,3.956616039436836,1.3753891244470478,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,Fp2,prefrontal,right,0.7081039366305681,-0.34516439291242534,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,Fp2,prefrontal,right,0.5002820907686109,-0.6925831581132926,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp2,prefrontal,right,1.9400800578528905,0.6627292391582599,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp2,prefrontal,right,1.9400800578528905,0.6627292391582599,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp2,prefrontal,right,1.9400800578528905,0.6627292391582599,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp2,prefrontal,right,1.9400800578528905,0.6627292391582599,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp2,prefrontal,right,1.9400800578528905,0.6627292391582599,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp2,prefrontal,right,1.9400800578528905,0.6627292391582599,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp2,prefrontal,right,4.6521098254465585,1.5373208425992786,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp2,prefrontal,right,4.716264052962246,1.551016971981792,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp2,prefrontal,right,8.363213674329018,2.1238427640346127,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Fp2,prefrontal,right,2.0437482670094593,0.7147855077166251,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Fp2,prefrontal,right,2.0437482670094593,0.7147855077166251,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Fp2,prefrontal,right,2.0437482670094593,0.7147855077166251,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Fp2,prefrontal,right,2.0437482670094593,0.7147855077166251,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Fp2,prefrontal,right,2.0437482670094593,0.7147855077166251,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Fp2,prefrontal,right,2.0437482670094593,0.7147855077166251,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Fp2,prefrontal,right,7.851711147691223,2.0607314886376065,1_Fp2
