dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fz,frontal,central,0.3493896769559979,-1.0515674267787538,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fz,frontal,central,0.3493896769559979,-1.0515674267787538,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fz,frontal,central,0.3493896769559979,-1.0515674267787538,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Fz,frontal,central,2.57650450767127,0.9464336383174156,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Fz,frontal,central,2.57650450767127,0.9464336383174156,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,Fz,frontal,central,0.5578598360948676,-0.5836475379484106,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,Fz,frontal,central,0.35911728469886334,-1.0241062455226113,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fz,frontal,central,1.7466349069538414,0.5576910264578337,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fz,frontal,central,1.7466349069538414,0.5576910264578337,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fz,frontal,central,1.7466349069538414,0.5576910264578337,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fz,frontal,central,1.7466349069538414,0.5576910264578337,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fz,frontal,central,1.7466349069538414,0.5576910264578337,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fz,frontal,central,1.7466349069538414,0.5576910264578337,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fz,frontal,central,3.859671155864556,1.3505819870664253,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fz,frontal,central,3.9741666109447604,1.3798150685011035,1_Fz
