dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Iz,occipital,central,0.6017380015397799,-0.50793314179522,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Iz,occipital,central,0.6017380015397799,-0.50793314179522,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Iz,occipital,central,0.6017380015397799,-0.50793314179522,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Iz,occipital,central,2.321360213447217,0.8421533127718311,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Iz,occipital,central,2.321360213447217,0.8421533127718311,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,Iz,occipital,central,0.6711008818215314,-0.39883580782457134,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,Iz,occipital,central,0.6548209532442053,-0.42339343454049283,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Iz,occipital,central,2.2294096744395837,0.8017368304452587,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Iz,occipital,central,2.2294096744395837,0.8017368304452587,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Iz,occipital,central,2.2294096744395837,0.8017368304452587,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Iz,occipital,central,2.2294096744395837,0.8017368304452587,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Iz,occipital,central,2.2294096744395837,0.8017368304452587,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Iz,occipital,central,2.2294096744395837,0.8017368304452587,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Iz,occipital,central,3.646091262866099,1.2936557068993455,1_Iz
