dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,O2,occipital,right,0.2667186547605785,-1.3215609036314753,1_O2
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,O2,occipital,right,0.2667186547605785,-1.3215609036314753,1_O2
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,O2,occipital,right,0.2667186547605785,-1.3215609036314753,1_O2
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,O2,occipital,right,2.102172408340879,0.7429712901858274,1_O2
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,O2,occipital,right,2.102172408340879,0.7429712901858274,1_O2
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,O2,occipital,right,0.4291848502110895,-0.8458675665860164,1_O2
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,O2,occipital,right,0.4504539913322685,-0.7974993351574476,1_O2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,O2,occipital,right,2.550497368528292,0.9362883866329259,1_O2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,O2,occipital,right,2.550497368528292,0.9362883866329259,1_O2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,O2,occipital,right,2.550497368528292,0.9362883866329259,1_O2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,O2,occipital,right,2.550497368528292,0.9362883866329259,1_O2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,O2,occipital,right,2.550497368528292,0.9362883866329259,1_O2
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,O2,occipital,right,2.550497368528292,0.9362883866329259,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,O2,occipital,right,2.906261772960658,1.0668676412565186,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,O2,occipital,right,5.800378278952217,1.7579231359346117,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,O2,occipital,right,9.169147650040413,2.215844332116254,1_O2
