dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P9,temporal,left,0.4700514734082512,-0.7549130723847829,1_P9
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P9,temporal,left,0.4700514734082512,-0.7549130723847829,1_P9
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P9,temporal,left,0.4700514734082512,-0.7549130723847829,1_P9
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,P9,temporal,left,3.417848982585278,1.2290114007404969,1_P9
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,P9,temporal,left,3.417848982585278,1.2290114007404969,1_P9
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,P9,temporal,left,0.5615302278729869,-0.5770896721066308,1_P9
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,P9,temporal,left,0.9884953759654745,-0.01157131421197199,1_P9
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P9,temporal,left,2.5425543768611205,0.9331692358745585,1_P9
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P9,temporal,left,2.5425543768611205,0.9331692358745585,1_P9
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P9,temporal,left,2.5425543768611205,0.9331692358745585,1_P9
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P9,temporal,left,2.5425543768611205,0.9331692358745585,1_P9
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P9,temporal,left,2.5425543768611205,0.9331692358745585,1_P9
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P9,temporal,left,2.5425543768611205,0.9331692358745585,1_P9
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P9,temporal,left,2.660590080620587,0.978547933011672,1_P9
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P9,temporal,left,2.660590080620587,0.978547933011672,1_P9
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P9,temporal,left,2.660590080620587,0.978547933011672,1_P9
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P9,temporal,left,2.660590080620587,0.978547933011672,1_P9
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P9,temporal,left,2.660590080620587,0.978547933011672,1_P9
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P9,temporal,left,2.660590080620587,0.978547933011672,1_P9
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P9,temporal,left,2.660590080620587,0.978547933011672,1_P9
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P9,temporal,left,2.660590080620587,0.978547933011672,1_P9
