dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,PO7,parietooccipital,left,0.692396558257574,-0.3675964264353978,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,PO7,parietooccipital,left,0.692396558257574,-0.3675964264353978,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,PO7,parietooccipital,left,0.692396558257574,-0.3675964264353978,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,PO7,parietooccipital,left,4.155180639663346,1.424355902612293,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,PO7,parietooccipital,left,4.155180639663346,1.424355902612293,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,PO7,parietooccipital,left,0.6082645095283404,-0.4971454430558103,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,PO7,parietooccipital,left,0.7523195281523649,-0.2845941408207012,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,PO7,parietooccipital,left,2.434896667295911,0.8899043192053184,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,PO7,parietooccipital,left,2.434896667295911,0.8899043192053184,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,PO7,parietooccipital,left,2.434896667295911,0.8899043192053184,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,PO7,parietooccipital,left,2.434896667295911,0.8899043192053184,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,PO7,parietooccipital,left,2.434896667295911,0.8899043192053184,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,PO7,parietooccipital,left,2.434896667295911,0.8899043192053184,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,PO7,parietooccipital,left,2.5811956256123705,0.948252712367268,1_PO7
