dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,POz,parietooccipital,central,0.5408044000652049,-0.6146976180712358,1_POz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,POz,parietooccipital,central,0.5408044000652049,-0.6146976180712358,1_POz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,POz,parietooccipital,central,0.5408044000652049,-0.6146976180712358,1_POz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,POz,parietooccipital,central,2.742153268334746,1.0087434761260163,1_POz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,POz,parietooccipital,central,2.742153268334746,1.0087434761260163,1_POz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,POz,parietooccipital,central,0.5529886320403544,-0.5924178345601496,1_POz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,POz,parietooccipital,central,0.4375722490544283,-0.8265134461228555,1_POz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,POz,parietooccipital,central,1.4979317780159782,0.4040853420125489,1_POz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,POz,parietooccipital,central,1.4979317780159782,0.4040853420125489,1_POz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,POz,parietooccipital,central,1.4979317780159782,0.4040853420125489,1_POz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,POz,parietooccipital,central,1.4979317780159782,0.4040853420125489,1_POz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,POz,parietooccipital,central,1.4979317780159782,0.4040853420125489,1_POz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,POz,parietooccipital,central,1.4979317780159782,0.4040853420125489,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,POz,parietooccipital,central,2.90783691531529,1.0674094767077622,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,POz,parietooccipital,central,5.709670498968353,1.7421613160428577,1_POz
