dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Pz,parietal,central,0.22949591823265503,-1.471870035118328,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Pz,parietal,central,0.22949591823265503,-1.471870035118328,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Pz,parietal,central,0.22949591823265503,-1.471870035118328,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Pz,parietal,central,2.322976518436169,0.8428493454445307,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Pz,parietal,central,2.322976518436169,0.8428493454445307,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,Pz,parietal,central,0.35433962763718024,-1.0374994256734666,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,Pz,parietal,central,0.26840210938435255,-1.3152690148083672,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Pz,parietal,central,1.897986656825844,0.6407936700396549,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Pz,parietal,central,1.897986656825844,0.6407936700396549,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Pz,parietal,central,1.897986656825844,0.6407936700396549,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Pz,parietal,central,1.897986656825844,0.6407936700396549,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Pz,parietal,central,1.897986656825844,0.6407936700396549,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Pz,parietal,central,1.897986656825844,0.6407936700396549,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Pz,parietal,central,4.778082158475075,1.5640392439159072,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Pz,parietal,central,1.880615017726927,0.6315988604329784,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Pz,parietal,central,6.662008571711037,1.8964210264279757,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Pz,parietal,central,1.1407416502605898,0.13167862128124308,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Pz,parietal,central,1.1407416502605898,0.13167862128124308,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Pz,parietal,central,1.1407416502605898,0.13167862128124308,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Pz,parietal,central,1.1407416502605898,0.13167862128124308,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Pz,parietal,central,1.1407416502605898,0.13167862128124308,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,107,vs,external,MW,Pz,parietal,central,1.1407416502605898,0.13167862128124308,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
Jin et al. (2019),1_2,1,2,jin2019,108,vs,external,MW,Pz,parietal,central,4.634015314151703,1.5334237307418197,1_Pz
