dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,T7,temporal,left,0.47460546139813636,-0.7452714276759786,1_T7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,T7,temporal,left,0.47460546139813636,-0.7452714276759786,1_T7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,T7,temporal,left,0.47460546139813636,-0.7452714276759786,1_T7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,T7,temporal,left,0.8096160695895124,-0.21119513184464564,1_T7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,T7,temporal,left,0.8096160695895124,-0.21119513184464564,1_T7
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,T7,temporal,left,0.611806801487072,-0.49133873015309854,1_T7
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,T7,temporal,left,0.5748829653477739,-0.553588797427174,1_T7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T7,temporal,left,2.8095879496467475,1.0330378354569896,1_T7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T7,temporal,left,2.8095879496467475,1.0330378354569896,1_T7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T7,temporal,left,2.8095879496467475,1.0330378354569896,1_T7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T7,temporal,left,2.8095879496467475,1.0330378354569896,1_T7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T7,temporal,left,2.8095879496467475,1.0330378354569896,1_T7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T7,temporal,left,2.8095879496467475,1.0330378354569896,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T7,temporal,left,1.693261561663317,0.5266565871795201,1_T7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T7,temporal,left,1.298960190060795,0.2615640906143769,1_T7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T7,temporal,left,1.298960190060795,0.2615640906143769,1_T7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T7,temporal,left,1.298960190060795,0.2615640906143769,1_T7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T7,temporal,left,1.298960190060795,0.2615640906143769,1_T7
