dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,TP7,temporal,left,0.22733724391310842,-1.4813207079909168,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,TP7,temporal,left,0.22733724391310842,-1.4813207079909168,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,TP7,temporal,left,0.22733724391310842,-1.4813207079909168,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,TP7,temporal,left,1.9527911021455437,0.6692596836265561,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,TP7,temporal,left,1.9527911021455437,0.6692596836265561,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,TP7,temporal,left,0.35300453652959035,-1.0412743707728054,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,TP7,temporal,left,0.648851971227701,-0.43255067577052936,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP7,temporal,left,2.7442197842842013,1.0094968029695848,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP7,temporal,left,2.7442197842842013,1.0094968029695848,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP7,temporal,left,2.7442197842842013,1.0094968029695848,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP7,temporal,left,2.7442197842842013,1.0094968029695848,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP7,temporal,left,2.7442197842842013,1.0094968029695848,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP7,temporal,left,2.7442197842842013,1.0094968029695848,1_TP7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP7,temporal,left,2.666516823898496,0.9807730603948868,1_TP7
