dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,AF4,prefrontal,right,1.6778943903135521,0.5175396682297524,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AF4,prefrontal,right,0.9521984347711262,-0.0489818260257097,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF4,prefrontal,right,1.4261315040738276,0.35496553658580926,025_AF4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,AF4,prefrontal,right,1.4261315040738276,0.35496553658580926,025_AF4
