dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,AFz,prefrontal,central,1.40857036784052,0.34257526650454956,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,AFz,prefrontal,central,0.9010256033339431,-0.10422160520268874,025_AFz
