dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,C4,central,right,1.7357256157327834,0.5514255482926131,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,C4,central,right,1.0290156544948228,0.028602670045057035,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,C4,central,right,1.119611402978693,0.11298166347572487,025_C4
