dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,CP4,fronto-parietal,right,1.592331752386433,0.4651994528900071,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,CP4,fronto-parietal,right,0.8392373672167758,-0.17526169570263314,025_CP4
