dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,F5,frontal,left,1.0256092832019728,0.025286858627286902,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,F5,frontal,left,0.5797512190184637,-0.5451562001864148,025_F5
