dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,FC5,frontocentral,left,1.0506946784987417,0.049451543979810234,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FC5,frontocentral,left,0.5900066792060776,-0.5276214214581832,025_FC5
