dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,FCz,frontocentral,central,1.7777876942335207,0.5753697228943602,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FCz,frontocentral,central,1.370613110247266,0.3152581654581931,025_FCz
