dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,FT8,frontocentral,right,2.362224277705693,0.8596036657254277,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,FT8,frontocentral,right,0.8885065377555147,-0.11821327322033844,025_FT8
