dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,Fp2,prefrontal,right,1.7610189365016424,0.5658925827223761,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fp2,prefrontal,right,1.020093153656548,0.01989395024037552,025_Fp2
