dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,Fpz,prefrontal,central,1.4611347885583343,0.3792133862532119,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fpz,prefrontal,central,0.9846343455766616,-0.01548492949508629,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fpz,prefrontal,central,1.290295233807029,0.25487105560464585,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,Fpz,prefrontal,central,1.4747309384419447,0.3884755585365829,025_Fpz
