dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,Fz,frontal,central,1.5148486055751624,0.4153155036545419,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,Fz,frontal,central,1.0646040093494955,0.06260290781132533,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,Fz,frontal,central,1.2978897833756287,0.26073970202301594,025_Fz
