dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,P10,temporal,right,5.9560805665340375,1.7844126416836048,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,P10,temporal,right,2.684889684825357,0.9876396413906624,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,P10,temporal,right,1.7409448744854081,0.5544279971517421,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,P10,temporal,right,2.253814763339642,0.8126242309360094,025_P10
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,P10,temporal,right,1.7467042587919217,0.5577307316423572,025_P10
