dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,PO7,parietooccipital,left,3.5533630412149813,1.2678944906017073,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,PO7,parietooccipital,left,1.5731936253118484,0.4531077095153426,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,PO7,parietooccipital,left,2.744514434128403,1.0096041682865267,025_PO7
