dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Braboszcz et al. (2017),025_1,025,1,ctr,2,med2,internal,OT,TP8,temporal,right,4.671027697496224,1.5413791111740291,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,7,med2,internal,OT,TP8,temporal,right,1.5784094511847047,0.45641766353443425,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,8,med2,internal,OT,TP8,temporal,right,1.1381906058979545,0.1294398136806374,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,9,med2,internal,OT,TP8,temporal,right,2.150409884283096,0.7656584678219442,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
Braboszcz et al. (2017),025_1,025,1,ctr,10,med2,internal,OT,TP8,temporal,right,1.1133181321076653,0.10734486443177521,025_TP8
