dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AF7,prefrontal,left,0.338692798891787,-1.0826617804066117,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AF7,prefrontal,left,0.338692798891787,-1.0826617804066117,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AF7,prefrontal,left,0.338692798891787,-1.0826617804066117,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,AF7,prefrontal,left,1.7749309407677945,0.5737615155608041,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,AF7,prefrontal,left,1.7749309407677945,0.5737615155608041,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,AF7,prefrontal,left,0.42911672182525856,-0.8460263182141006,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,AF7,prefrontal,left,0.43609821115198794,-0.8298878060634345,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF7,prefrontal,left,1.8145319603056764,0.5958275613520064,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF7,prefrontal,left,1.8145319603056764,0.5958275613520064,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF7,prefrontal,left,1.8145319603056764,0.5958275613520064,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF7,prefrontal,left,1.8145319603056764,0.5958275613520064,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF7,prefrontal,left,1.8145319603056764,0.5958275613520064,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AF7,prefrontal,left,1.8145319603056764,0.5958275613520064,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AF7,prefrontal,left,2.4365192708835988,0.8905704925184934,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,AF7,prefrontal,left,4.193211115456391,1.4334668164218214,1_AF7
