dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AFz,prefrontal,central,0.5350444290413908,-0.6254054905969912,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AFz,prefrontal,central,0.5350444290413908,-0.6254054905969912,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,AFz,prefrontal,central,0.5350444290413908,-0.6254054905969912,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,AFz,prefrontal,central,3.5059167817202876,1.254452050256213,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,AFz,prefrontal,central,3.5059167817202876,1.254452050256213,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,AFz,prefrontal,central,0.7594615124746212,-0.27514563304978007,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,AFz,prefrontal,central,0.4932978364544122,-0.706642156613785,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AFz,prefrontal,central,2.128891656014664,0.75560149500377,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AFz,prefrontal,central,2.128891656014664,0.75560149500377,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AFz,prefrontal,central,2.128891656014664,0.75560149500377,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AFz,prefrontal,central,2.128891656014664,0.75560149500377,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AFz,prefrontal,central,2.128891656014664,0.75560149500377,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,AFz,prefrontal,central,2.128891656014664,0.75560149500377,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AFz,prefrontal,central,4.944957809383799,1.598368433063313,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AFz,prefrontal,central,4.944957809383799,1.598368433063313,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AFz,prefrontal,central,4.944957809383799,1.598368433063313,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AFz,prefrontal,central,4.944957809383799,1.598368433063313,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AFz,prefrontal,central,4.944957809383799,1.598368433063313,1_AFz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,AFz,prefrontal,central,4.944957809383799,1.598368433063313,1_AFz
