dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,C1,central,left,0.11219246167419555,-2.1875394746551513,1_C1
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,C1,central,left,0.11219246167419555,-2.1875394746551513,1_C1
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,C1,central,left,0.11219246167419555,-2.1875394746551513,1_C1
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,C1,central,left,1.3556731296330584,0.30429810561693804,1_C1
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,C1,central,left,1.3556731296330584,0.30429810561693804,1_C1
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,C1,central,left,0.2649213123512717,-1.3283224316132023,1_C1
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,C1,central,left,0.3612609938306887,-1.0181546072692504,1_C1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C1,central,left,1.9725182686951437,0.6793110353908933,1_C1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C1,central,left,1.9725182686951437,0.6793110353908933,1_C1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C1,central,left,1.9725182686951437,0.6793110353908933,1_C1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C1,central,left,1.9725182686951437,0.6793110353908933,1_C1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C1,central,left,1.9725182686951437,0.6793110353908933,1_C1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,C1,central,left,1.9725182686951437,0.6793110353908933,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,C1,central,left,3.14384969290148,1.1454480658228299,1_C1
