dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CP6,centroparietal,right,0.19944956957818594,-1.6121938586767404,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CP6,centroparietal,right,0.19944956957818594,-1.6121938586767404,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,CP6,centroparietal,right,0.19944956957818594,-1.6121938586767404,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,CP6,centroparietal,right,0.7775009451081645,-0.25167041935628476,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,CP6,centroparietal,right,0.7775009451081645,-0.25167041935628476,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,CP6,centroparietal,right,0.3765082650106595,-0.9768152797635882,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,CP6,centroparietal,right,0.49576919549025417,-0.7016447922304655,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP6,centroparietal,right,3.517402654232916,1.2577228349206597,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP6,centroparietal,right,3.517402654232916,1.2577228349206597,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP6,centroparietal,right,3.517402654232916,1.2577228349206597,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP6,centroparietal,right,3.517402654232916,1.2577228349206597,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP6,centroparietal,right,3.517402654232916,1.2577228349206597,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,CP6,centroparietal,right,3.517402654232916,1.2577228349206597,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP6,centroparietal,right,1.5308569494240611,0.42582767627097795,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP6,centroparietal,right,1.5308569494240611,0.42582767627097795,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP6,centroparietal,right,1.5308569494240611,0.42582767627097795,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP6,centroparietal,right,1.5308569494240611,0.42582767627097795,1_CP6
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,CP6,centroparietal,right,1.5308569494240611,0.42582767627097795,1_CP6
