dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Cz,central,central,0.2251455408644126,-1.4910082376076186,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Cz,central,central,0.2251455408644126,-1.4910082376076186,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Cz,central,central,0.2251455408644126,-1.4910082376076186,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Cz,central,central,1.6149745688671995,0.4793192097191818,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Cz,central,central,1.6149745688671995,0.4793192097191818,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,Cz,central,central,0.25696934369880287,-1.3587984864206306,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,Cz,central,central,0.24074915808220743,-1.423999725372499,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Cz,central,central,2.0753579760251983,0.7301336573694057,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Cz,central,central,2.0753579760251983,0.7301336573694057,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Cz,central,central,2.0753579760251983,0.7301336573694057,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Cz,central,central,2.0753579760251983,0.7301336573694057,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Cz,central,central,2.0753579760251983,0.7301336573694057,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Cz,central,central,2.0753579760251983,0.7301336573694057,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Cz,central,central,3.949327489892436,1.3735453086944456,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Cz,central,central,0.5375020317486913,-0.6208227389898983,1_Cz
