dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F4,fronto-parietal,right,0.22067156855879597,-1.5110797979472954,1_F4
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F4,fronto-parietal,right,0.22067156855879597,-1.5110797979472954,1_F4
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F4,fronto-parietal,right,0.22067156855879597,-1.5110797979472954,1_F4
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,F4,fronto-parietal,right,2.050902866553033,0.7182801189014995,1_F4
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,F4,fronto-parietal,right,2.050902866553033,0.7182801189014995,1_F4
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,F4,fronto-parietal,right,0.27324603624924876,-1.2973826579803858,1_F4
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,F4,fronto-parietal,right,0.3673699493384837,-1.0013859023103842,1_F4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F4,fronto-parietal,right,1.429875227328363,0.3575871868484683,1_F4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F4,fronto-parietal,right,1.429875227328363,0.3575871868484683,1_F4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F4,fronto-parietal,right,1.429875227328363,0.3575871868484683,1_F4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F4,fronto-parietal,right,1.429875227328363,0.3575871868484683,1_F4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F4,fronto-parietal,right,1.429875227328363,0.3575871868484683,1_F4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F4,fronto-parietal,right,1.429875227328363,0.3575871868484683,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F4,fronto-parietal,right,2.822215356846222,1.0375221640717693,1_F4
