dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F5,frontal,left,0.1741598514894306,-1.7477817147811132,1_F5
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F5,frontal,left,0.1741598514894306,-1.7477817147811132,1_F5
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,F5,frontal,left,0.1741598514894306,-1.7477817147811132,1_F5
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,F5,frontal,left,1.0803424581713479,0.07727808177283023,1_F5
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,F5,frontal,left,1.0803424581713479,0.07727808177283023,1_F5
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,F5,frontal,left,0.2722152634923875,-1.30116211578734,1_F5
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,F5,frontal,left,0.3783494898855957,-0.971936934103132,1_F5
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F5,frontal,left,2.171349568376702,0.775348895150627,1_F5
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F5,frontal,left,2.171349568376702,0.775348895150627,1_F5
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F5,frontal,left,2.171349568376702,0.775348895150627,1_F5
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F5,frontal,left,2.171349568376702,0.775348895150627,1_F5
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F5,frontal,left,2.171349568376702,0.775348895150627,1_F5
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,F5,frontal,left,2.171349568376702,0.775348895150627,1_F5
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F5,frontal,left,1.5875091626733377,0.46216622353078557,1_F5
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F5,frontal,left,1.5875091626733377,0.46216622353078557,1_F5
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F5,frontal,left,1.5875091626733377,0.46216622353078557,1_F5
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F5,frontal,left,1.5875091626733377,0.46216622353078557,1_F5
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F5,frontal,left,1.5875091626733377,0.46216622353078557,1_F5
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F5,frontal,left,1.5875091626733377,0.46216622353078557,1_F5
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,F5,frontal,left,1.5875091626733377,0.46216622353078557,1_F5
