dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FC1,frontocentral,left,0.167727234665796,-1.7854162222306993,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FC1,frontocentral,left,0.167727234665796,-1.7854162222306993,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FC1,frontocentral,left,0.167727234665796,-1.7854162222306993,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,FC1,frontocentral,left,1.1728352130426178,0.15942407646300305,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,FC1,frontocentral,left,1.1728352130426178,0.15942407646300305,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,FC1,frontocentral,left,0.29776242077474163,-1.2114593561684581,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,FC1,frontocentral,left,0.242581804844608,-1.4164162859254035,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC1,frontocentral,left,1.2330814486814563,0.20951627932530031,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC1,frontocentral,left,1.2330814486814563,0.20951627932530031,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC1,frontocentral,left,1.2330814486814563,0.20951627932530031,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC1,frontocentral,left,1.2330814486814563,0.20951627932530031,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC1,frontocentral,left,1.2330814486814563,0.20951627932530031,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FC1,frontocentral,left,1.2330814486814563,0.20951627932530031,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FC1,frontocentral,left,1.6136422756297406,0.47849390688688614,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FC1,frontocentral,left,2.5984084280283555,0.9548991145253569,1_FC1
