dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FCz,frontocentral,central,0.19085220167282954,-1.656255963714764,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FCz,frontocentral,central,0.19085220167282954,-1.656255963714764,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,FCz,frontocentral,central,0.19085220167282954,-1.656255963714764,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,FCz,frontocentral,central,1.218609933153628,0.19771081008217015,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,FCz,frontocentral,central,1.218609933153628,0.19771081008217015,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,FCz,frontocentral,central,0.29057164960375254,-1.235905090747687,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,FCz,frontocentral,central,0.2867547236530341,-1.2491280500375985,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FCz,frontocentral,central,0.8977277483077738,-0.10788843225076715,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FCz,frontocentral,central,0.8977277483077738,-0.10788843225076715,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FCz,frontocentral,central,0.8977277483077738,-0.10788843225076715,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FCz,frontocentral,central,0.8977277483077738,-0.10788843225076715,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FCz,frontocentral,central,0.8977277483077738,-0.10788843225076715,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,FCz,frontocentral,central,0.8977277483077738,-0.10788843225076715,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,FCz,frontocentral,central,1.4594365794100936,0.3780504567263016,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FCz,frontocentral,central,2.126693815039719,0.754568574299766,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FCz,frontocentral,central,2.126693815039719,0.754568574299766,1_FCz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,FCz,frontocentral,central,2.126693815039719,0.754568574299766,1_FCz
