dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fp1,prefrontal,left,0.47181128807706907,-0.7511761867393075,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fp1,prefrontal,left,0.47181128807706907,-0.7511761867393075,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fp1,prefrontal,left,0.47181128807706907,-0.7511761867393075,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Fp1,prefrontal,left,3.179058096044242,1.1565849567048208,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Fp1,prefrontal,left,3.179058096044242,1.1565849567048208,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,Fp1,prefrontal,left,0.7512642984974427,-0.2859977603721564,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,Fp1,prefrontal,left,0.7429459755750404,-0.29713194811248733,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp1,prefrontal,left,1.952266100136329,0.668990800491082,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp1,prefrontal,left,1.952266100136329,0.668990800491082,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp1,prefrontal,left,1.952266100136329,0.668990800491082,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp1,prefrontal,left,1.952266100136329,0.668990800491082,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp1,prefrontal,left,1.952266100136329,0.668990800491082,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fp1,prefrontal,left,1.952266100136329,0.668990800491082,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fp1,prefrontal,left,3.9403486539714976,1.3712692102504678,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fp1,prefrontal,left,5.090873532438105,1.6274494332127276,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp1,prefrontal,left,8.20741851231708,2.1050384419029076,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp1,prefrontal,left,8.20741851231708,2.1050384419029076,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp1,prefrontal,left,8.20741851231708,2.1050384419029076,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp1,prefrontal,left,8.20741851231708,2.1050384419029076,1_Fp1
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,Fp1,prefrontal,left,8.20741851231708,2.1050384419029076,1_Fp1
