dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fpz,prefrontal,central,0.5335358804106284,-0.6282289557490105,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fpz,prefrontal,central,0.5335358804106284,-0.6282289557490105,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Fpz,prefrontal,central,0.5335358804106284,-0.6282289557490105,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Fpz,prefrontal,central,3.849557527837535,1.3479582138605768,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Fpz,prefrontal,central,3.849557527837535,1.3479582138605768,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,Fpz,prefrontal,central,0.8088851740524684,-0.2120983076557232,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,Fpz,prefrontal,central,0.5060349402403345,-0.6811495602202728,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fpz,prefrontal,central,2.142826576905608,0.7621257878344472,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fpz,prefrontal,central,2.142826576905608,0.7621257878344472,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fpz,prefrontal,central,2.142826576905608,0.7621257878344472,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fpz,prefrontal,central,2.142826576905608,0.7621257878344472,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fpz,prefrontal,central,2.142826576905608,0.7621257878344472,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Fpz,prefrontal,central,2.142826576905608,0.7621257878344472,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Fpz,prefrontal,central,4.944912678419864,1.598359306358572,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,Fpz,prefrontal,central,5.509804177968722,1.7065290831446676,1_Fpz
