dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Oz,occipital,central,0.6399799177770691,-0.4463184815940637,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Oz,occipital,central,0.6399799177770691,-0.4463184815940637,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,Oz,occipital,central,0.6399799177770691,-0.4463184815940637,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Oz,occipital,central,2.5678492856048525,0.9430686946992141,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,Oz,occipital,central,2.5678492856048525,0.9430686946992141,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,Oz,occipital,central,0.558365124249318,-0.5827421860580384,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,Oz,occipital,central,0.5656389106208012,-0.5697993714676158,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Oz,occipital,central,1.6321652207910795,0.48990748964749964,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Oz,occipital,central,1.6321652207910795,0.48990748964749964,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Oz,occipital,central,1.6321652207910795,0.48990748964749964,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Oz,occipital,central,1.6321652207910795,0.48990748964749964,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Oz,occipital,central,1.6321652207910795,0.48990748964749964,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,Oz,occipital,central,1.6321652207910795,0.48990748964749964,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,Oz,occipital,central,2.570560380991718,0.9441239222168089,1_Oz
