dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P4,fronto-parietal,right,0.2257066135829858,-1.4885192930492528,1_P4
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P4,fronto-parietal,right,0.2257066135829858,-1.4885192930492528,1_P4
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,P4,fronto-parietal,right,0.2257066135829858,-1.4885192930492528,1_P4
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,P4,fronto-parietal,right,1.4557204621242736,0.37550094104273485,1_P4
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,P4,fronto-parietal,right,1.4557204621242736,0.37550094104273485,1_P4
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,P4,fronto-parietal,right,0.3773806333965504,-0.9745009632187881,1_P4
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,P4,fronto-parietal,right,0.46206897800505464,-0.7720410960037442,1_P4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P4,fronto-parietal,right,5.920715282513427,1.778457266346082,1_P4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P4,fronto-parietal,right,5.920715282513427,1.778457266346082,1_P4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P4,fronto-parietal,right,5.920715282513427,1.778457266346082,1_P4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P4,fronto-parietal,right,5.920715282513427,1.778457266346082,1_P4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P4,fronto-parietal,right,5.920715282513427,1.778457266346082,1_P4
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,P4,fronto-parietal,right,5.920715282513427,1.778457266346082,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,P4,fronto-parietal,right,3.547078464623379,1.266124296951766,1_P4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P4,fronto-parietal,right,3.4239423251541474,1.2307926138485366,1_P4
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,P4,fronto-parietal,right,3.4239423251541474,1.2307926138485366,1_P4
