dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,T8,temporal,right,1.0073817140678951,0.007354602554481135,1_T8
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,T8,temporal,right,1.0073817140678951,0.007354602554481135,1_T8
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,T8,temporal,right,1.0073817140678951,0.007354602554481135,1_T8
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,T8,temporal,right,1.9052842127941665,0.6446311905182893,1_T8
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,T8,temporal,right,1.9052842127941665,0.6446311905182893,1_T8
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,T8,temporal,right,0.46174653239725466,-0.7727391696283226,1_T8
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,T8,temporal,right,0.2705993551530061,-1.3071159462748738,1_T8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T8,temporal,right,2.104349316290127,0.7440063059475848,1_T8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T8,temporal,right,2.104349316290127,0.7440063059475848,1_T8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T8,temporal,right,2.104349316290127,0.7440063059475848,1_T8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T8,temporal,right,2.104349316290127,0.7440063059475848,1_T8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T8,temporal,right,2.104349316290127,0.7440063059475848,1_T8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,T8,temporal,right,2.104349316290127,0.7440063059475848,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,T8,temporal,right,2.5999881680007193,0.9555068942481275,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,T8,temporal,right,1.4791151378192733,0.3914440291227513,1_T8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,T8,temporal,right,2.832210093382242,1.0410573585961924,1_T8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,T8,temporal,right,2.832210093382242,1.0410573585961924,1_T8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,T8,temporal,right,2.832210093382242,1.0410573585961924,1_T8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,T8,temporal,right,2.832210093382242,1.0410573585961924,1_T8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,T8,temporal,right,2.832210093382242,1.0410573585961924,1_T8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,T8,temporal,right,2.832210093382242,1.0410573585961924,1_T8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,T8,temporal,right,2.832210093382242,1.0410573585961924,1_T8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,T8,temporal,right,2.832210093382242,1.0410573585961924,1_T8
