dataset,subject_session,subject_id,session_id,group,epoch_idx,task,task_orientation,state,channel,cortical_region,hemisphere,band_power,log_band_power,sub_ch
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,TP8,temporal,right,0.436497963360085,-0.8289715695550949,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,TP8,temporal,right,0.436497963360085,-0.8289715695550949,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,14,vs,external,MW,TP8,temporal,right,0.436497963360085,-0.8289715695550949,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,TP8,temporal,right,1.2017534143711932,0.18378166895385756,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,28,vs,external,MW,TP8,temporal,right,1.2017534143711932,0.18378166895385756,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,40,vs,external,MW,TP8,temporal,right,0.6100134099522133,-0.4942743385281958,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,42,vs,external,MW,TP8,temporal,right,0.42302653559272785,-0.8603203700057205,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP8,temporal,right,2.616824366358068,0.9619615087081885,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP8,temporal,right,2.616824366358068,0.9619615087081885,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP8,temporal,right,2.616824366358068,0.9619615087081885,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP8,temporal,right,2.616824366358068,0.9619615087081885,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP8,temporal,right,2.616824366358068,0.9619615087081885,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,88,vs,external,MW,TP8,temporal,right,2.616824366358068,0.9619615087081885,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,90,vs,external,MW,TP8,temporal,right,3.3808918524837925,1.2181395363711518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,105,vs,external,MW,TP8,temporal,right,2.2018928938042373,0.7893173967016271,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
Jin et al. (2019),1_2,1,2,jin2019,106,vs,external,MW,TP8,temporal,right,5.722661676725656,1.7444340252590518,1_TP8
