Channel,Value,Mask
Cz,-1.2779214234118241,True
Pz,-1.6387053474512165,True
Oz,0.1425248179183729,True
Fz,-0.8569427277066051,True
C3,-0.9396971134390896,True
C4,-1.1236068792514744,True
P3,-0.9043672155385513,True
P4,-1.4731717015012988,True
Cz,-0.7934137368615427,True
Pz,-1.4897140150725017,True
Oz,-0.06250331170076154,True
Fz,-0.9618210089578741,True
C3,-0.95071316156908,True
C4,-0.739968150214765,True
P3,-0.8763613404061178,True
P4,-1.1557094683114777,True
Cz,-1.1958964617803507,True
Pz,-1.2975133955550198,True
Oz,-0.05639201127565561,True
Fz,-0.7446896003201652,True
C3,-0.9759064712270534,True
C4,-1.3093544796144254,True
P3,-0.5767735045076801,True
P4,-0.883921036054853,True
Cz,-0.8644748986813009,True
Pz,-1.1405769175592113,True
Oz,0.10086037738839218,True
Fz,-0.7502529603614341,True
C3,-0.09594109384248747,True
C4,0.0708264733437505,True
P3,-0.22225247177559587,True
P4,-0.37993964462898216,True
Cz,-0.8595197006031969,True
Pz,-1.584452371678111,True
Oz,0.18503624448925468,True
Fz,-0.7931936271484435,True
C3,-0.6910969477180363,True
C4,-0.9371622994580818,True
P3,-0.3791410192981887,True
P4,-1.2399831066859652,True
Cz,-1.1342980757201857,True
Pz,-1.6247766633475638,True
Oz,-0.11164136850861779,True
Fz,-0.9386932772757656,True
C3,-0.3309973016514742,True
C4,0.037457910879739535,True
P3,-0.2972310623507743,True
P4,-0.7843839309739397,True
Cz,-1.0196303748687117,True
Pz,-1.415297586581131,True
Oz,-0.5153935828484849,False
Fz,-1.2355855890261807,True
C3,-1.2057627928965915,True
C4,-0.888606230575964,True
P3,-0.7045010309564346,True
P4,-1.4015408286912137,True
Cz,-0.07503181015811863,True
Pz,-0.6226059908248974,True
Oz,0.2420297223100182,True
Fz,0.07152376836932645,False
C3,0.020081410249464117,True
C4,0.9270333764130663,True
P3,-0.2229542805977024,True
P4,0.1871212458615591,True
Cz,-1.7314067963865065,True
Pz,-2.064651546716542,True
Oz,-0.01741456670182148,True
Fz,-1.2650412311697354,True
C3,-0.6656093552718496,True
C4,-1.32219278794623,True
P3,-0.6302200136901346,True
P4,-1.47626685997029,True
Cz,-0.296841392716698,True
Pz,-0.9768199417171615,True
Oz,0.009390189086223905,True
Fz,-0.4243609982161828,True
C3,-0.9327764464605002,True
C4,-0.7878549812085994,True
P3,-0.603682082201038,True
P4,-0.8433439552632354,True
Cz,-0.7364533468079714,True
Pz,-1.2521972984538765,True
Oz,0.5274993551160275,False
Fz,-0.38303306042580026,True
C3,0.22401620418523047,True
C4,-0.258715079232771,True
P3,-0.4668374023170387,True
P4,-1.1524862669598412,True
Cz,-0.5368498135036809,True
Pz,-1.1199429671852046,True
Oz,0.0839687893030824,True
Fz,-0.5045891382992184,True
C3,-0.4516215118835758,True
C4,-0.7258249831646123,True
P3,-0.5479830431024819,True
P4,-0.40623490409933277,True
Cz,-0.49403536422674166,True
Pz,-1.1272082406719377,True
Oz,0.18645888076405065,True
Fz,-0.36778410001344025,True
C3,-0.3749060581777435,True
C4,0.10292073528023502,True
P3,-0.24112842023210002,True
P4,-0.7617548895159034,True
Cz,-0.9163242637596988,True
Pz,-1.5664927919770548,True
Oz,-0.23262136146363294,True
Fz,-1.10549018385617,True
C3,-0.36911441316303006,True
C4,-1.0686606939795074,True
P3,-0.865428060565011,True
P4,-1.0519990567028896,True
Cz,-1.0570918181553515,True
Pz,-1.4412599537027517,True
Oz,-0.005068982986460617,True
Fz,-1.2710675203333428,True
C3,-1.639318318176296,True
C4,-0.9581595791428792,True
P3,-1.157928088152801,True
P4,-1.3884502209008815,True
Cz,-1.144500950886438,True
Pz,-1.761903446111935,True
Oz,-0.17731300122340862,True
Fz,-0.7189660060586909,True
C3,-0.45820144183278827,True
C4,-1.2724138359577244,True
P3,-0.7193148596038629,True
P4,-1.513169160269403,True
Cz,-0.7379770999642788,True
Pz,-0.8254372767740105,True
Oz,-0.0768510021663196,True
Fz,-1.271142877786962,True
C3,-0.8976155233075853,True
C4,-0.38959263419027595,True
P3,-0.69871501299879,True
P4,-1.069812947459876,True
Cz,-1.1924352856980738,True
Pz,-1.719517766148142,True
Oz,-0.47542236605574034,True
Fz,-1.365664470573794,True
C3,-1.0082069731626975,True
C4,-0.9168834987158783,True
P3,-0.9157862174008629,True
P4,-0.8461117071030354,True
Cz,-0.29685288075653027,True
Pz,-1.4287147137919494,True
Oz,0.2961289958971421,True
Fz,-0.7145456277513557,True
C3,-1.0174416045591321,True
C4,-0.40113108705108924,True
P3,-0.6936214718040468,True
P4,-1.0931872980705573,True
Cz,-1.2664170076132588,True
Pz,-1.5611352827722136,True
Oz,-0.0756026909315191,True
Fz,-0.9834785335415139,True
C3,-1.12569906108222,True
C4,-1.0239432782363498,True
P3,-0.8339858996607713,True
P4,-1.4959583408931076,True
Cz,-0.8773180531086312,True
Pz,-1.4065725720236149,True
Oz,0.10301132561311789,True
Fz,-0.6621477495109769,True
C3,-1.0729785244313286,True
C4,-1.1179845415577634,True
P3,-0.624346729753405,True
P4,-0.9019223370826834,True
Cz,-0.2767188501517797,True
Pz,-0.7106279546142663,True
Oz,-0.08964269175316548,True
Fz,-0.5140245208298583,True
C3,0.6413432051431014,True
C4,-0.41580100161542466,True
P3,-0.20669984255208823,True
P4,-0.5200125147537016,True
Cz,-0.22595025623756435,True
Pz,-0.7310075318896379,True
Oz,-0.3213741094922854,True
Fz,-0.6374008820899004,True
C3,0.658815903196625,True
C4,-0.5386534072836582,True
P3,-0.19420838156252523,True
P4,-0.6131325157751365,True
Cz,-1.1921191543873135,True
Pz,-1.159659257399053,True
Oz,0.07108649698344668,True
Fz,-0.8318008434758198,True
C3,0.44335885791695256,True
C4,0.02507915277005453,True
P3,0.07858229923754348,True
P4,-0.68199976432885,True
Cz,-0.7985878627594073,True
Pz,-1.0275770248350415,True
Oz,0.16878676438339443,True
Fz,-0.6846681913919653,True
C3,0.6929429229530196,True
C4,0.2040290947747962,True
P3,-0.0025571407100168433,True
P4,-0.4724003288734197,True
Cz,-0.7338259229817339,True
Pz,-1.0064135333231852,True
Oz,0.24884575326634187,True
Fz,-0.698405198093661,True
C3,0.6977873588736665,True
C4,0.2793937638966759,True
P3,0.0719134837092829,True
P4,-0.4559074508898478,True
Cz,-2.1036421587638907,True
Pz,-2.165823894601443,True
Oz,-1.687799995586192,True
Fz,-1.9267814312918796,True
C3,-2.913149993078721,True
C4,-2.3698461393520542,True
P3,-2.714843145707797,True
P4,-3.0218713464578686,True
Cz,-2.3813796263639855,True
Pz,-2.253180086088929,True
Oz,-1.7833807596283946,True
Fz,-1.823836336513171,True
C3,-2.9807729716184928,True
C4,-1.8905951129688134,True
P3,-2.7187853677984584,True
P4,-2.8212031914766875,True
Cz,-2.77842549067433,True
Pz,-2.0018255077376756,True
Oz,-2.003467760504978,True
Fz,-2.0116936218366828,True
C3,-3.1559031092098624,True
C4,-2.421180206848908,True
P3,-2.6897351872549202,True
P4,-3.166675150795311,True
Cz,-2.2775092862516932,True
Pz,-1.6197054524580599,True
Oz,-1.639435520001394,True
Fz,-2.0437921898292912,True
