Channel,Value,Mask
Cz,1.0212874264472895,True
Pz,1.3222659106519077,True
Oz,2.017473840470893,True
Fz,1.0826850624617645,True
C3,0.7064497760947377,True
C4,0.9867114702589104,True
P3,1.8354178386571827,True
P4,1.402735213531922,True
Cz,0.7057153788997955,True
Pz,1.2629045102779175,True
Oz,1.655127225932418,True
Fz,0.5222162832880001,True
C3,0.3904583740723949,True
C4,0.6219952692004397,True
P3,1.3997692980780163,True
P4,1.338529517755163,True
Cz,1.420238971043272,True
Pz,1.6775686520098314,True
Oz,2.392430490870609,True
Fz,1.1600032574199781,True
C3,1.0528678779381275,True
C4,1.0089660579660007,True
P3,1.5107085932761883,True
P4,1.6396376388576346,True
Cz,1.2917931722092975,True
Pz,1.1974570294302165,True
Oz,2.174300791136911,True
Fz,1.323191180177759,True
C3,0.8378313600230043,True
C4,0.7359482326388191,True
P3,1.5490230642485947,True
P4,1.7032700237301872,True
Cz,1.5450410972641435,True
Pz,1.7031878230124247,True
Oz,2.532987938106728,True
Fz,1.488691928408227,True
C3,0.9602982625592307,True
C4,1.262934303056959,True
P3,1.2986587455628482,True
P4,1.8779142717223845,True
Cz,1.0063261783022428,True
Pz,1.4352326558598398,True
Oz,1.937360588747138,True
Fz,0.88426845512592,True
C3,0.6259335894664553,True
C4,0.7664484827375997,True
P3,1.4309611631853554,True
P4,1.5150097953886785,True
Cz,1.2169550880507047,True
Pz,1.0840438131639272,True
Oz,2.0611404736627543,True
Fz,1.2106937305008258,True
C3,0.39362889882308844,True
C4,0.9406693634868127,True
P3,1.5977473296150762,True
P4,1.1950307272592167,True
Cz,1.4089234277972873,True
Pz,1.3602497851445194,True
Oz,2.2465222578452586,True
Fz,1.5177431028681367,True
C3,0.8050972487724208,True
C4,1.2854233094811298,True
P3,1.494487545823898,True
P4,1.5415668654252406,True
Cz,1.1169016375837242,True
Pz,1.4030112049717163,True
Oz,1.9698973854906288,True
Fz,1.1089499458844303,True
C3,0.5614846839667437,True
C4,0.861287601457435,True
P3,1.311931046827136,True
P4,1.1864075981592799,True
Cz,1.222333309618229,True
Pz,1.6885279448021837,True
Oz,2.049684804674716,True
Fz,1.1252305813868828,True
C3,0.8409703174947086,True
C4,1.1581238569818715,True
P3,1.669350430151327,True
P4,1.372317358460376,True
Cz,0.9562453936965619,True
Pz,1.441181449827093,True
Oz,1.9570861857660473,True
Fz,0.9576800529775948,True
C3,1.1295302179058162,True
C4,0.45425308461828984,True
P3,1.4360817163914283,True
P4,1.4835310574320113,True
Cz,1.076967491426684,True
Pz,1.1422374436865945,True
Oz,1.701806858684208,True
Fz,0.9877448243515434,True
C3,0.4864596013391164,True
C4,0.8624691633251526,True
P3,0.684825073037135,True
P4,0.9525849546354465,True
Cz,0.8278235253825852,True
Pz,1.6608523491846785,True
Oz,1.8461698272007778,True
Fz,1.033632629217964,True
C3,0.6428421650768166,True
C4,0.9038392418024986,True
P3,1.3281163043168331,True
P4,1.8240761052024053,True
Cz,0.8773809520087658,True
Pz,1.514233988614675,True
Oz,1.7889674300001166,True
Fz,1.0691084121003513,True
C3,0.9958743778703294,True
C4,0.5402692614864683,True
P3,1.5694589083869304,True
P4,1.709637123173402,True
Cz,1.0291966530737866,True
Pz,1.5847800135140726,True
Oz,1.7513328200345288,True
Fz,1.0000521417084212,True
C3,0.6687874549528444,True
C4,0.8747612960244721,True
P3,1.695202040000444,True
P4,1.5212456270304788,True
Cz,0.7094702371069991,True
Pz,1.6105586927488253,True
Oz,1.381055052190831,True
Fz,1.2436721823864028,True
C3,0.22143997386002173,True
C4,1.0490848883632773,True
P3,1.7532019274294566,True
P4,1.8342119513803103,True
Cz,1.2327100986200301,True
Pz,1.519669444678293,True
Oz,2.182337396018654,True
Fz,1.0017880779875488,True
C3,0.88181948639764,True
C4,0.7864763735295629,True
P3,1.7674392573890763,True
P4,1.2398918168507607,True
Cz,0.9662933644946524,True
Pz,1.2060453535020519,True
Oz,1.7731834986819324,True
Fz,0.23430320727460668,True
C3,0.7841927789635412,True
C4,0.9949579627029658,True
P3,1.0706873971296096,True
P4,1.3065211296897739,True
Cz,1.10705543812753,True
Pz,1.3716490955485834,True
Oz,2.024626813793996,True
Fz,0.9472846768866678,True
C3,0.721061849268975,True
C4,1.0368333523864572,True
P3,1.195442124783725,True
P4,1.008413706364892,True
Cz,1.274699250358502,True
Pz,1.6547381913884256,True
Oz,1.8637380712459672,True
Fz,1.1006172008411381,True
C3,0.39041438960660757,True
C4,1.2722490723012898,True
P3,1.4037212172376201,True
P4,1.0660217579685667,True
Cz,1.3153862794984896,True
Pz,0.3994799971224391,True
Oz,2.2666220881727113,True
Fz,1.3110034209678116,True
