Channel,Value,Mask
Cz,-2.0498025852408435,True
Pz,-1.9640771116743494,True
Oz,-0.646540526792595,True
Fz,-1.727509150536462,True
C3,-2.0522325141234137,True
C4,-1.6288198662317401,True
P3,-1.7056364157402641,True
P4,-1.7205010996232766,True
Cz,-1.893915941706817,True
Pz,-1.4447079285058533,True
Oz,-0.7708524978441016,True
Fz,-1.7911556884302486,True
C3,-2.032567174496911,True
C4,-1.6929396860622017,True
P3,-1.5568915997431663,True
P4,-1.6697009616780218,True
Cz,-2.640660358939232,True
Pz,-1.445767161145961,True
Oz,-0.9247861835891084,True
Fz,-1.6301683943892005,True
C3,-1.991100117288094,True
C4,-1.9617894158458502,True
P3,-1.1735882800467854,True
P4,-1.5035066155862529,True
Cz,-1.9377706211232466,True
Pz,-1.2808332011647598,True
Oz,-0.6819771517255695,True
Fz,-1.4648806963580159,True
C3,-1.4695811800970724,True
C4,-1.3869027354324202,True
P3,-0.9402222584106806,True
P4,-0.9872142965589459,True
Cz,-1.9925078214396632,True
Pz,-1.602912373523949,True
Oz,-0.912418450271047,True
Fz,-1.5860141829668535,True
C3,-1.5425149539853584,True
C4,-1.549323659626288,True
P3,-1.281783242602545,True
P4,-0.9394999716785808,True
Cz,-1.999235666026745,True
Pz,-1.6056309112808322,True
Oz,-0.7126252552449662,True
Fz,-1.5978928742255556,True
C3,-1.9164840325608314,True
C4,-1.8925672273618581,True
P3,-1.2526417149478557,True
P4,-0.8746146990487643,True
Cz,-2.3389657170954443,True
Pz,-1.6670494596358727,True
Oz,-1.1428314412207292,True
Fz,-1.8392254466724214,True
C3,-1.6309903244644486,True
C4,-1.708842461956594,True
P3,-1.0295633604535026,True
P4,-1.3880684224745492,True
Cz,-2.043930928577605,True
Pz,-1.7678274221798105,True
Oz,-1.1331573534996715,True
Fz,-1.710515690001506,True
C3,-1.7309308803831682,True
C4,-1.759168494162357,True
P3,-1.5846565689829657,True
P4,-1.6882366943569787,True
Cz,-2.1424533839807074,True
Pz,-1.818695805725902,True
Oz,-0.7466252234227839,True
Fz,-1.9323148915172388,True
C3,-2.0442761760796113,True
C4,-1.864084353119666,True
P3,-1.608821785938588,True
P4,-1.7730296518518383,True
Cz,-2.26525029297328,True
Pz,-1.3974762513671497,True
Oz,-0.5438544193420206,True
Fz,-1.7253918333397227,True
C3,-1.990019671946718,True
C4,-1.8277242771173952,True
P3,-1.2195272697457964,True
P4,-1.5890789519283761,True
Cz,-2.3238829549842714,True
Pz,-1.5223757077966416,True
Oz,-0.8539698425113287,True
Fz,-2.050680389723281,True
