Channel,Value,Mask
Cz,-1.3711862041909066,True
Pz,-1.7160794998395472,True
Oz,-0.9671322156027918,True
Fz,-1.3369356996066246,True
C3,-1.9670664401306792,True
C4,-1.7672801392150292,True
P3,-1.6297181439486266,True
P4,-1.4346396637175118,True
Cz,-1.6670938698855002,True
Pz,-1.7299514721963343,True
Oz,-1.4678409064299156,True
Fz,-1.747508208729377,True
C3,-1.9954297157708705,True
C4,-1.8588969112997067,True
P3,-1.8348530011771358,True
P4,-1.7166601417626595,True
Cz,-1.7205933046272543,True
Pz,-1.91926965437865,True
Oz,-1.1606893958833933,True
Fz,-1.1081589499292939,True
C3,-1.9320659058929952,True
C4,-1.9975884342566426,True
P3,-1.5386693148601398,True
P4,-1.7703089101102123,True
Cz,-1.2861994207110448,True
Pz,-1.5806387194589433,True
Oz,-1.3124578915540632,True
Fz,-1.0920355076814097,True
C3,-1.8688300908717028,True
C4,-1.7232722265012703,True
P3,-1.7349270341507819,True
P4,-1.684394661874804,True
Cz,-1.119315316317358,True
Pz,-1.1786623669774574,True
Oz,-0.9610248007497371,True
Fz,-0.9052009625830649,True
C3,-1.2123670765414019,True
C4,-1.468427570102079,True
P3,-1.167797444637034,True
P4,-1.0689763576180302,True
Cz,-1.7397868532794267,True
Pz,-2.0158784649484756,True
Oz,-1.356777193233658,True
Fz,-1.0271325933704065,True
C3,-1.874491594740937,True
C4,-1.9443404304043002,True
P3,-1.1986358689743561,True
P4,-1.8472613051792588,True
Cz,-0.009652989364669467,True
Pz,0.3916301928338764,True
Oz,0.9397118095829202,True
Fz,0.8189653679170302,True
C3,-0.7490086635527275,True
C4,-0.9452105117153181,True
P3,0.6250927862860348,True
P4,0.5624292389381949,True
Cz,-1.329379068970075,True
Pz,-1.9924828935966932,True
Oz,-1.3404021486948374,True
Fz,-1.296900955075267,True
C3,-2.224496825385309,True
C4,-2.029427766158075,True
P3,-2.165719813522075,True
P4,-2.44347990215752,True
Cz,-1.233882617101391,True
Pz,-1.6499302258138107,True
Oz,-1.0801880697025714,True
Fz,-1.3973171163467188,True
C3,-1.3162728894148876,True
C4,-1.5694020631130303,True
P3,-1.4946572400749207,True
P4,-1.496456623700395,True
Cz,-1.7260783839138492,True
Pz,-1.733310437735219,True
Oz,-0.5606018790199755,True
Fz,-1.0637798845037703,True
C3,-2.022321021077815,True
C4,-2.2269461208666432,True
P3,-1.4388211731382063,True
P4,-1.81422784740846,True
Cz,-1.8766624804496752,True
Pz,-2.0829574533439406,True
Oz,-1.6482250161309455,True
Fz,-1.8712524435707936,True
C3,-2.26941352546073,True
C4,-2.5264346764157524,True
P3,-2.144469199919765,True
P4,-2.293469070500879,True
Cz,-1.8652454459163577,True
Pz,-2.3447547014845442,True
Oz,-1.3267926138386112,True
Fz,-1.7644912034462994,True
C3,-2.180578531349257,True
C4,-2.2040295998004593,True
P3,-2.1456855344169954,True
P4,-2.1405144279260906,True
Cz,-1.0240591805468604,True
Pz,-1.39998918135921,True
Oz,-0.608432043123638,True
Fz,-0.6837816720961756,True
C3,-1.6726275752595194,True
C4,-1.0912723470206644,True
P3,-0.6831409162834219,True
P4,-1.3531213685813124,True
Cz,-1.5720069089073336,True
Pz,-1.4638023510715867,True
Oz,-0.9813590079932296,True
Fz,-1.1979536087662181,True
C3,-1.592687989453799,True
C4,-1.9990683220676688,True
P3,-1.983130351034571,True
P4,-1.568895930140511,True
Cz,-1.7683154306530302,True
Pz,-2.1062453023379466,True
Oz,-1.5697079569267198,True
Fz,-1.722192416277182,True
C3,-2.3668115833346333,True
C4,-2.367402762974942,True
P3,-2.139711081340199,True
P4,-2.1495911771575513,True
Cz,-1.5200964982765437,True
Pz,-2.088899640036122,True
Oz,-1.2610833171522147,True
Fz,-1.4316153039991077,True
C3,-1.741785952808861,True
C4,-1.8448325523769915,True
P3,-2.074568038695618,True
P4,-1.705052546443406,True
Cz,-1.705567229824036,True
Pz,-2.212014676395534,True
Oz,-1.9738161257371347,True
Fz,-1.7366759361007578,True
C3,-2.0683528087804017,True
C4,-1.9116233124853652,True
P3,-2.400397755716028,True
P4,-2.1742309870406338,True
Cz,-1.8239546336946273,True
Pz,-2.20155605290217,True
Oz,-1.3222263598142434,True
Fz,-1.5975683100977696,True
C3,-2.0079553597289603,True
C4,-2.2071829345183436,True
P3,-1.5465908865026534,True
P4,-2.28307774694627,True
